retrievers,hit_rate,mrr,precision,recall,ap,ndcg,challenge_id
Top-10 eval,0.5277777777777778,0.1652594062316284,0.0527777777777777,0.5277777777777778,0.1652594062316284,0.0546862460193445,0015752e-ff5a-4de7-bbe7-8c849f7ef756
Top-10 eval,0.5370370370370371,0.1757642563198118,0.0537037037037036,0.5370370370370371,0.1757642563198118,0.0571095488289583,10a35ac0-b845-4a22-b3ae-68188f12a297
Top-10 eval,0.5833333333333334,0.2134957378012933,0.0583333333333333,0.5833333333333334,0.2134957378012933,0.0658004947453559,283462a9-b584-4218-865e-65a064f83a1a
Top-10 eval,0.9722222222222222,0.7459104938271605,0.0972222222222222,0.9722222222222222,0.7459104938271605,0.1763037112757559,2b023616-ba14-4759-bffe-f4f84c8faa2b
Top-10 eval,0.8070175438596491,0.2895972570314676,0.0807017543859649,0.8070175438596491,0.2895972570314676,0.0908059888070758,3a9c45a1-0cbe-473d-a73b-9f83114db638
Top-10 eval,0.5,0.1728431804820693,0.0499999999999999,0.5,0.1728431804820693,0.0548194369730662,838bc160-c8a2-4fd3-b457-670ed343fb91
Top-10 eval,0.5462962962962963,0.1661044973544973,0.0546296296296296,0.5462962962962963,0.1661044973544973,0.0562110523005414,8b9c0c00-30e7-4f50-8ceb-42478f15facd
Top-10 eval,0.5648148148148148,0.1837522045855379,0.0564814814814814,0.5648148148148148,0.1837522045855379,0.0602975955758705,ae23fdeb-5103-472e-a8c2-843ebdfbee46
Top-10 eval,0.7333333333333333,0.2626917989417989,0.0733333333333333,0.7333333333333333,0.2626917989417989,0.0824745068281443,b1b2d752-7c48-45fc-93f3-84f3c7d6f2c4
Top-10 eval,0.5277777777777778,0.2050117577895356,0.0527777777777777,0.5277777777777778,0.2050117577895356,0.0617877261469198,b8e93f35-bd4e-40bc-a07a-5230a822f7d0
Top-10 eval,0.4814814814814814,0.1485412992357437,0.0481481481481481,0.4814814814814814,0.1485412992357437,0.0495026031711281,d69f25b8-7901-4925-a9be-0d48f285a48d
Top-10 eval,0.5583333333333333,0.2106216931216931,0.0558333333333333,0.5583333333333333,0.2106216931216931,0.0646453193862536,d9bfbba2-fc42-481a-bda6-f5f3f12b3d36
Top-10 eval,0.7,0.2491732804232804,0.0699999999999999,0.7,0.2491732804232804,0.0782907306173889,e4a564f3-1bcb-4518-8e2a-61d9e3c64c8b
Top-10 eval,0.6018518518518519,0.1917364785420341,0.0601851851851851,0.6018518518518519,0.1917364785420341,0.0628633475182587,e60dd253-2328-45e5-8875-be47a689f93a
Top-10 eval,1.0,0.6658333333333333,0.1,1.0,0.6658333333333333,0.1644708517922794,eedb99d6-7b93-4660-954b-d204274bf542
Top-10 eval,0.4814814814814814,0.1841600529100529,0.0481481481481481,0.4814814814814814,0.1841600529100529,0.0556332204887202,f1a34da9-c618-4414-9c79-764fdfecefd1
